item_activity,amount,date,farm_owner_id
fruit Harvest,1797.37,23/05/22,52
coconut Investment,9194.6,28/05/22,45
plough Investment,3253.29,23/09/22,26
fish Harvest,9132.88,13/05/22,31
coffee Investment,1137.54,12/07/22,26
fruit Harvest,8205.72,29/05/23,15
vegetable Investment,5091.42,28/07/22,55
cotton Harvest,8173.68,13/02/24,98
goats Investment,4420.56,15/09/22,95
cows Investment,855.07,12/04/24,50
poultry Harvest,4040.48,18/11/23,1
wheat Harvest,4896.55,28/01/22,69
pulses Harvest,8086.7,12/04/22,72
turkey Investment,1133,04/12/23,71
duck Harvest,4938.01,28/09/22,30
coffee Harvest,2448.41,01/08/22,7
groundnut Investment,7763.11,03/02/22,10
harvester Harvest,2611.77,18/06/22,25
buffalo Investment,9905.18,08/01/23,35
harvester Investment,7703.25,18/11/23,63
buffalo Investment,2675.71,04/07/22,24
rice Investment,6394.88,24/04/22,1
duck Investment,595.18,27/04/22,40
hen Harvest,1899.87,15/01/24,90
coconut Harvest,1024.33,17/04/24,69
goat Harvest,5040.2,29/05/24,81
millets Investment,1595.14,11/05/22,17
plough Harvest,4643.06,05/06/23,91
hen Harvest,1186.38,16/01/22,6
turkey Investment,1925.13,11/12/23,42
millets Harvest,753.65,26/12/23,68
irrigation system Investment,9866.96,16/02/24,46
tea Investment,640.1,28/03/22,99
hen Investment,1698.8,26/09/22,3
maize Investment,8422.02,03/01/22,71
duck Harvest,5159.39,19/03/24,85
buffalo Investment,3712.68,07/10/23,32
turkey Harvest,1769.35,28/08/23,26
irrigation system Investment,4648.27,19/04/22,17
vegetable Investment,308.85,13/08/23,63
maize Investment,4647.27,29/01/22,30
pulses Investment,807.3,30/05/23,20
groundnut Harvest,7746.65,04/11/23,16
irrigation system Harvest,2700.18,17/12/22,56
pulses Investment,2329.57,04/09/23,73
horse Investment,789.72,12/02/23,13
sugarcane Harvest,554.62,10/03/23,55
horse Investment,3324.55,02/04/22,11
horse Harvest,6002.38,24/06/22,41
millets Harvest,8673.2,01/01/22,49
irrigation system Investment,9587.82,15/09/22,22
poultry Investment,109.02,11/01/24,6
goat Investment,4430,25/09/23,91
sprayer Harvest,7694.28,24/09/23,91
plough Harvest,6686.12,08/09/22,52
irrigation system Harvest,5439.6,17/11/22,41
cow Investment,7293.15,12/08/22,65
buffalo Investment,2691.68,03/06/22,98
vegetable Harvest,5578.99,01/06/23,100
tractor Harvest,2971.5,18/12/23,23
sprayer Harvest,8697.1,30/10/23,95
millets Harvest,2056.5,16/04/23,25
pig Harvest,6256.25,18/11/23,99
seed drill Investment,9712.83,13/04/24,24
pig Harvest,2679.11,02/05/24,99
cotton Investment,3075.57,18/02/23,71
maize Harvest,5651.3,27/05/23,11
seed drill Harvest,2722.32,03/02/24,34
goat Harvest,8229.97,15/09/23,49
groundnut Investment,4908.01,22/08/22,79
fertilizer spreader Harvest,1634.13,08/06/22,29
tractor Investment,8668.89,18/01/22,81
harvester Harvest,8236.81,04/12/22,42
sprayer Harvest,9882.16,16/11/22,80
goats Harvest,743.49,20/08/22,41
vegetable Harvest,1017.67,19/04/23,22
sugarcane Harvest,8371.74,20/02/22,29
cotton Investment,2766.36,24/06/22,3
cows Investment,351.56,08/11/22,76
sprayer Investment,8032.07,30/04/22,33
sheep Investment,5989.85,27/08/22,67
coffee Harvest,1383.16,10/10/23,99
tea Harvest,1086.22,11/10/23,24
pulses Harvest,592.53,05/12/22,59
sugarcane Investment,7972.43,22/04/24,47
duck Investment,5729.13,07/10/22,52
fruit Investment,1293.61,14/05/22,79
buffalo Harvest,8303.96,18/04/22,66
cow Investment,6407.14,20/07/23,69
tractor Investment,6601.35,02/06/24,39
pulses Harvest,3509.83,15/06/22,55
irrigation system Harvest,3139.44,29/05/24,7
buffalo Harvest,4852.94,24/09/22,18
sugarcane Investment,7738.8,11/04/23,7
tea Investment,5150.24,11/04/22,26
pulses Harvest,8357.18,16/03/22,65
turkey Harvest,4798.77,01/02/24,42
tea Investment,6839.24,24/03/24,61
goat Investment,9193.66,13/07/22,47
sheep Investment,4458.87,17/10/22,73
fruit Harvest,8120.11,27/04/24,25
horse Harvest,1256.54,08/03/24,97
wheat Investment,7706.48,24/05/24,14
fish Harvest,6404.52,29/01/24,30
tractor Harvest,5595.99,24/10/22,56
coffee Harvest,866.41,27/01/24,80
buffalo Investment,9168.75,14/11/22,7
irrigation system Investment,773.09,19/09/23,79
goat Harvest,3983.91,12/06/24,90
cows Harvest,5828.54,16/10/22,5
groundnut Harvest,4961.57,11/05/24,69
horse Investment,8573.21,24/08/22,46
millets Investment,3372.68,04/10/23,36
coconut Harvest,550.77,08/08/23,85
hen Harvest,5749.48,11/04/24,27
goat Investment,7192.75,08/06/23,72
sugarcane Harvest,808.97,01/10/22,59
coconut Investment,1840.9,03/01/22,100
fertilizer spreader Harvest,6813.2,06/06/24,75
duck Harvest,3898.2,03/10/23,46
goat Investment,6243.65,10/08/22,38
pig Investment,9183.88,23/06/22,42
coffee Harvest,6917.58,13/05/23,15
millets Harvest,6254.19,02/01/24,46
fertilizer spreader Investment,2499.54,11/03/23,77
fish Harvest,3175.72,22/04/22,56
cows Harvest,2130.03,23/02/24,88
sheep Harvest,6281.29,13/06/23,29
cow Investment,7810.79,25/11/23,56
poultry Harvest,217.73,04/01/23,15
cow Investment,7863.73,21/12/22,51
seed drill Investment,8006.92,03/11/22,73
duck Harvest,7202.14,18/03/24,25
cows Harvest,9496.92,18/09/23,76
coffee Investment,1947.83,05/05/24,46
duck Investment,8946.7,20/06/23,92
buffalo Investment,8737.46,01/03/22,4
turkey Harvest,834.71,28/10/22,86
fruit Investment,2003.85,22/10/22,54
hen Investment,2487.13,03/05/23,47
sugarcane Investment,5937.82,25/04/22,32
cow Investment,7867.13,29/10/23,76
rubber Investment,4748.21,09/05/24,79
seed drill Harvest,3756.91,07/07/22,84
harvester Harvest,388.56,05/05/22,99
coconut Harvest,6509.44,30/04/23,81
cow Investment,8352.61,06/04/23,97
sheep Investment,1383.21,28/04/23,15
fertilizer spreader Investment,7142.5,07/12/23,12
goat Investment,8038.9,04/10/23,7
buffalo Investment,278.22,11/03/22,86
cow Investment,5811.94,21/10/23,96
rubber Harvest,1782.99,14/01/22,46
vegetable Harvest,8897.77,12/11/22,21
plough Harvest,5322.84,14/02/22,47
sprayer Harvest,4377.54,26/03/22,49
cows Harvest,4990.12,16/06/23,80
rubber Investment,5598.94,08/05/23,98
seed drill Investment,6575.47,26/08/22,76
goat Harvest,872.88,26/10/22,99
goats Harvest,5197.74,26/10/22,23
sugarcane Harvest,169.3,03/10/23,80
tea Harvest,7741.34,07/05/22,69
wheat Harvest,6494.5,11/09/23,10
plough Investment,8525.14,15/08/23,17
hen Harvest,747.53,10/10/23,50
hen Harvest,1985.67,15/08/22,46
plough Investment,4425.49,13/04/22,50
sprayer Investment,598.83,29/04/24,28
wheat Harvest,4711.34,11/09/22,97
sugarcane Harvest,6880.34,17/03/23,6
plough Investment,7778.37,12/10/22,18
irrigation system Investment,2709.61,11/03/22,100
cow Investment,8301.22,16/01/24,98
cotton Investment,6122.17,24/04/23,6
coffee Harvest,3223.06,30/01/23,81
poultry Investment,3235.67,11/12/22,82
rubber Harvest,7924.58,23/05/22,32
harvester Harvest,2474.26,24/09/22,24
poultry Investment,4087.38,03/03/24,7
duck Harvest,5865.25,22/02/24,6
cotton Investment,3831.2,26/02/22,13
goat Harvest,1561.08,06/06/22,12
goat Harvest,2724.17,20/11/23,39
duck Investment,9064.56,07/03/22,52
fruit Investment,5621.95,06/07/23,81
duck Harvest,6384.84,07/03/24,25
seed drill Harvest,7648.25,27/04/24,36
rice Investment,2638.51,21/10/23,11
pig Investment,2597.73,11/05/22,73
seed drill Investment,7221.55,18/12/23,15
coconut Investment,2604.18,25/12/22,59
buffalo Harvest,5357.05,28/04/24,38
maize Harvest,4393.59,05/12/23,77
seed drill Investment,518.16,13/04/23,46
groundnut Harvest,4397.65,19/07/22,37
vegetable Investment,9835.84,10/06/22,69
seed drill Harvest,9034.18,26/07/23,79
irrigation system Harvest,6953.3,19/12/23,81
poultry Investment,9256.58,31/05/24,94
cotton Harvest,293.06,01/03/23,84
hen Investment,6255.45,20/04/22,25
poultry Investment,7920.39,09/09/23,16
rubber Investment,4600.11,27/05/22,78
tea Harvest,641.43,23/03/22,80
sugarcane Harvest,598.93,28/04/24,74
sugarcane Harvest,9721.1,08/04/22,35
harvester Investment,2206.42,13/03/24,36
groundnut Investment,4767.15,24/08/22,46
coconut Investment,2177.77,11/01/24,82
rubber Investment,9157.84,14/05/24,73
coffee Investment,8558.88,17/09/23,51
groundnut Investment,3314.84,23/03/23,1
harvester Harvest,4371.63,20/01/24,49
cotton Investment,3919.02,07/05/22,89
fertilizer spreader Harvest,9888.91,10/12/23,94
pig Investment,3683.51,08/05/23,1
duck Harvest,3939.75,04/04/22,78
fertilizer spreader Harvest,1450.78,29/01/23,33
rubber Investment,3477.81,21/10/22,17
duck Investment,6638.03,10/06/23,80
vegetable Harvest,9420.5,23/03/23,94
tea Investment,3042.63,12/05/22,60
turkey Investment,8146.17,21/05/22,19
harvester Harvest,4278.75,12/02/24,14
fertilizer spreader Harvest,9563.88,18/11/22,62
rubber Harvest,1793.63,08/07/23,23
vegetable Investment,8177.07,14/10/23,66
cow Harvest,6488.35,28/10/22,97
rubber Harvest,3285.89,12/04/22,76
pig Investment,8611.62,19/10/22,2
plough Harvest,9868.56,23/06/23,1
seed drill Investment,9744.99,23/02/22,56
sprayer Harvest,9097,21/06/22,56
groundnut Investment,3199.59,02/02/24,54
duck Investment,2904.88,08/08/22,10
vegetable Harvest,4138.52,14/03/24,12
plough Harvest,3613.18,29/01/24,25
plough Investment,2423.58,05/05/24,56
rubber Investment,601.82,16/09/22,87
sugarcane Investment,4608.16,22/12/22,48
goat Investment,2783.13,17/07/23,27
coffee Investment,3966.49,13/05/24,62
fish Investment,9319.33,24/12/22,87
cows Harvest,5627.72,30/06/22,62
cows Investment,9936.85,22/06/23,91
horse Investment,425.93,17/02/23,4
fish Investment,2934.12,20/01/22,86
buffalo Investment,1416.55,26/11/23,19
irrigation system Harvest,7663.23,16/09/23,63
tea Harvest,2823.94,27/09/22,37
coffee Investment,1874.28,01/12/23,11
cotton Investment,6489.82,14/05/23,97
millets Investment,4764.06,05/12/23,10
cotton Harvest,8393.12,14/04/22,2
goat Harvest,709.49,04/03/24,72
sheep Harvest,7613.15,03/04/24,5
goat Harvest,960.54,27/11/22,79
cows Harvest,6859.56,24/02/24,9
sheep Investment,2824.13,21/05/23,20
horse Harvest,2155.41,03/11/22,18
maize Investment,3242.57,20/04/22,13
cotton Investment,6011.03,24/03/24,4
pulses Investment,9271.55,04/03/23,66
seed drill Harvest,9168.88,07/08/22,8
millets Harvest,9640.82,09/04/24,11
coconut Investment,6001.47,21/08/23,46
duck Harvest,4471.99,08/03/23,25
poultry Investment,3034.91,17/06/22,74
groundnut Harvest,8293.37,10/05/23,16
fruit Harvest,938.16,06/02/23,5
harvester Investment,5116.02,05/01/22,76
cotton Investment,2198.04,04/10/22,17
fertilizer spreader Investment,756.66,02/04/23,64
cows Harvest,3115.75,17/11/22,59
groundnut Investment,349.07,30/04/23,73
buffalo Investment,4898.38,15/04/24,19
cotton Investment,1919.76,23/02/24,94
coffee Harvest,6922.32,22/09/23,72
irrigation system Harvest,4507.29,04/02/23,95
fruit Investment,3392.36,07/04/23,100
harvester Investment,5359.59,13/11/23,46
cow Investment,2227.21,21/02/24,26
poultry Harvest,7150.38,05/06/23,13
duck Harvest,5780.85,31/03/24,9
rubber Investment,3445.61,14/05/22,81
horse Harvest,2214.64,31/03/23,78
fruit Harvest,531.83,15/05/22,20
cows Investment,3354.74,17/02/24,4
vegetable Harvest,169.5,24/11/22,86
cotton Investment,7551.13,05/12/22,54
tractor Investment,640.76,05/03/22,2
millets Investment,4652.38,05/11/22,65
horse Investment,5795.39,26/05/23,35
coconut Investment,1887.54,09/06/22,81
cow Investment,7830.56,01/08/23,78
harvester Investment,321.52,18/01/23,7
turkey Investment,7712.87,05/05/22,31
fruit Harvest,4447.34,26/08/22,8
tractor Investment,5881.59,01/02/23,67
vegetable Harvest,3158.77,07/12/23,96
sugarcane Investment,2317.13,30/11/22,39
harvester Investment,2934.1,08/03/22,55
pulses Harvest,9547.38,11/11/23,93
rice Investment,2619.1,21/05/23,66
cotton Harvest,6423.41,11/01/22,66
rice Investment,6106.25,29/10/22,42
wheat Investment,3741.04,04/04/24,37
poultry Harvest,1321.61,25/12/22,100
wheat Investment,3837.79,14/12/23,3
tea Investment,1757.04,06/06/22,33
duck Investment,3145.48,03/11/23,36
hen Harvest,2535.8,25/10/22,100
buffalo Harvest,4471.48,07/09/23,9
duck Investment,4967,27/09/22,16
fertilizer spreader Harvest,5202.56,08/01/24,39
tractor Harvest,6388.68,18/03/22,33
hen Harvest,1486.16,22/05/22,57
poultry Harvest,404.61,11/04/22,88
plough Investment,4827.7,18/12/23,10
turkey Investment,165.46,18/11/22,11
cows Investment,1962.01,16/04/24,29
tractor Harvest,6559.77,10/03/23,44
sheep Harvest,1645.06,28/01/23,77
harvester Investment,9101.88,17/07/22,63
duck Harvest,2052.86,06/04/22,72
cotton Investment,5826.35,30/04/23,68
cows Investment,8860.79,08/11/23,65
coffee Harvest,6545.66,05/04/24,11
turkey Investment,4787.6,06/04/24,20
hen Harvest,1422.46,06/01/23,83
vegetable Investment,8315.59,27/12/22,61
fruit Investment,616.03,17/01/22,53
duck Investment,8276.87,10/05/22,97
goats Investment,9075.23,13/01/24,71
wheat Investment,2215.8,14/08/23,79
sugarcane Investment,2051.6,30/06/22,69
rubber Investment,8296.97,02/11/22,6
buffalo Harvest,2091.86,22/10/23,13
duck Investment,5656.39,08/06/23,84
rice Harvest,2040.24,24/02/24,85
coffee Investment,2045.47,19/02/22,79
sugarcane Harvest,2304.25,07/07/22,95
cow Investment,9395.22,27/08/22,25
pulses Harvest,2882.36,14/10/22,89
pig Investment,481.39,06/03/23,5
fruit Investment,2283.34,21/08/22,27
rice Investment,6325.37,07/05/24,6
hen Investment,363.51,24/03/23,46
wheat Investment,4656.01,10/12/22,37
pig Investment,5102.79,12/02/24,82
wheat Investment,3563.83,13/03/24,79
fertilizer spreader Harvest,9735.62,02/06/24,77
seed drill Harvest,8871,14/02/22,10
rice Investment,5253.05,27/01/23,69
vegetable Harvest,3359.88,26/05/24,38
fruit Harvest,1055.53,23/03/22,17
fish Investment,1437.99,23/04/24,86
fruit Harvest,9556.08,18/02/24,19
maize Harvest,1450.19,08/02/22,61
vegetable Harvest,7944,08/05/23,26
duck Harvest,6180.81,21/04/23,90
rubber Investment,1291.59,02/07/22,98
pig Harvest,9971.71,08/05/22,89
harvester Investment,9921.96,25/03/23,19
horse Investment,9183.03,17/01/23,79
horse Harvest,5571.51,03/11/23,39
plough Harvest,9048.54,08/11/22,88
tractor Harvest,9166,04/08/22,74
hen Harvest,9631.36,19/08/22,89
plough Investment,7776.87,13/08/22,33
pig Investment,148.75,20/08/22,50
seed drill Harvest,7008.25,05/08/23,31
poultry Investment,7339.7,16/02/24,18
groundnut Investment,112.53,03/08/23,93
groundnut Harvest,2406.17,06/05/24,64
hen Harvest,1320.8,19/08/22,27
vegetable Harvest,4706.24,11/04/23,71
poultry Harvest,7704.93,27/05/22,26
pig Harvest,1340.75,06/05/22,51
seed drill Harvest,1203.71,20/05/23,33
buffalo Investment,2475.66,06/03/22,43
plough Harvest,8483.58,04/04/22,89
cow Harvest,2699.66,16/11/23,34
fertilizer spreader Investment,7198.53,19/12/23,66
hen Investment,210.53,10/01/24,79
duck Investment,8155.14,26/04/22,13
duck Investment,3784.89,26/12/23,74
buffalo Harvest,4474.7,04/10/23,63
cows Harvest,2949.95,01/11/23,100
tractor Investment,6176.31,07/06/24,47
sugarcane Investment,7225.62,15/02/22,45
cows Investment,5372.72,14/03/23,7
pig Harvest,7600.78,08/07/23,83
horse Investment,6112.24,05/07/22,15
wheat Harvest,6551.13,07/03/24,29
coconut Investment,9944.49,11/01/23,42
plough Investment,1387.71,15/03/22,48
turkey Investment,4758.14,13/08/22,9
seed drill Harvest,9859.08,25/04/22,79
coffee Investment,5784.65,19/12/23,53
cow Harvest,4909.83,12/06/24,2
coconut Harvest,4468.63,05/06/24,53
harvester Investment,2422.57,24/09/23,40
poultry Harvest,4075.56,22/09/22,77
plough Investment,626.12,25/05/23,96
fruit Investment,9402.91,06/11/23,79
turkey Investment,5828.98,13/01/24,60
maize Investment,4628.98,01/11/22,16
horse Investment,3402.72,01/03/22,94
cotton Investment,5307.09,22/03/24,89
tea Harvest,1990.09,28/11/23,31
cows Harvest,2757.11,11/01/22,12
groundnut Investment,6652.88,04/11/23,42
maize Harvest,3879.78,22/02/22,13
fruit Investment,3515.25,29/12/22,69
maize Harvest,4522.3,24/04/22,9
coconut Harvest,4958.65,08/06/24,24
cotton Harvest,4234.27,03/04/22,25
vegetable Investment,4611.1,09/11/23,19
cows Harvest,3571.2,17/02/24,30
tractor Harvest,3893.88,05/10/22,59
buffalo Harvest,3863.33,03/02/24,1
harvester Investment,6687.24,11/01/22,7
rubber Investment,6215.03,09/08/23,35
buffalo Investment,5952.74,01/09/22,51
duck Investment,6129.03,07/03/24,24
irrigation system Investment,3248.87,24/07/22,31
cow Harvest,8362.03,28/06/23,58
wheat Harvest,5873.65,23/03/23,76
duck Investment,4154.4,21/11/22,40
cow Harvest,8663.69,19/09/22,18
duck Investment,6940.38,22/04/23,2
goat Investment,4618.31,02/04/23,10
fertilizer spreader Harvest,5126.83,23/01/24,39
coffee Investment,4415.22,14/02/22,20
cows Investment,5806.88,06/10/23,75
maize Investment,2608.89,27/06/22,53
buffalo Investment,1366.61,14/05/23,7
coffee Harvest,2645.9,10/06/22,19
cow Harvest,8983.81,25/10/22,11
maize Harvest,854.23,08/06/24,21
poultry Investment,860.74,24/01/23,55
irrigation system Harvest,9589.28,25/02/23,83
buffalo Harvest,5849.73,12/09/22,100
wheat Investment,1748.55,27/01/22,40
plough Investment,7129.68,25/02/23,26
cows Harvest,6717.37,10/03/22,57
maize Investment,6752.78,16/03/23,12
pulses Harvest,3721.17,05/02/22,32
tea Investment,3415.83,25/03/23,18
cotton Harvest,9871.99,05/01/23,21
fruit Investment,2877.07,15/04/23,68
tea Investment,2295.08,06/04/22,9
pulses Investment,9282.61,26/04/23,55
cow Harvest,3308.2,05/05/22,85
sheep Investment,9420.78,20/04/24,89
tea Investment,7474.58,03/06/23,94
turkey Investment,993.77,14/05/23,99
groundnut Investment,1581.7,19/02/22,89
goat Harvest,8050.71,04/10/22,31
fish Harvest,4212.64,19/06/22,26
coconut Harvest,1076.51,15/09/23,76
cow Harvest,2763.1,08/01/24,57
rice Investment,5629.53,27/12/22,3
sheep Harvest,2590.14,20/11/22,30
sheep Harvest,2520.96,13/08/22,69
vegetable Harvest,7470.86,07/07/22,11
cow Harvest,7291.06,13/04/22,86
sheep Harvest,4560.4,05/06/22,5
horse Investment,158.4,28/08/23,61
buffalo Harvest,8440.47,18/08/22,10
tea Investment,3109.14,20/07/23,68
hen Investment,1510.89,26/07/22,93
seed drill Investment,2996,14/06/24,30
sheep Investment,7548.05,16/06/24,95
fish Investment,6503.43,15/01/23,22
seed drill Harvest,4633.1,13/11/22,31
tea Investment,9324.95,29/10/22,17
rice Harvest,4036.46,08/03/22,16
vegetable Investment,7727.71,27/03/23,25
plough Investment,4234.71,26/02/22,60
rubber Investment,1653.31,25/09/23,27
millets Investment,295.08,27/02/23,20
tea Harvest,2027.47,23/01/22,87
pig Investment,441.45,04/03/23,98
fertilizer spreader Harvest,2248.55,05/02/22,66
harvester Investment,5437.8,30/01/24,48
buffalo Investment,8554.41,08/06/23,52
poultry Investment,1193.61,30/04/22,68
horse Harvest,2598.34,08/09/22,68
rubber Harvest,1183.22,23/05/22,60
cotton Harvest,9799.06,07/02/23,1
coffee Harvest,5668.49,03/03/23,60
turkey Investment,5618.69,27/08/23,59
harvester Harvest,7793.52,21/08/23,7
pulses Investment,6771.85,17/01/23,55
horse Harvest,4633.62,30/04/22,22
groundnut Investment,1406.78,17/01/24,93
rice Harvest,4827.16,03/04/23,99
sugarcane Harvest,9258,31/07/22,88
fertilizer spreader Investment,5078.08,12/02/22,90
duck Harvest,5050.96,11/01/24,1
rubber Harvest,6675.94,04/12/22,76
hen Investment,7556.25,31/12/22,72
turkey Harvest,4601.74,17/05/22,77
rice Harvest,4924.2,24/12/22,44
cotton Investment,9440.12,30/10/23,34
coffee Investment,6966.83,16/06/22,52
pig Investment,2206.08,26/01/22,3
pig Harvest,4657.28,22/07/23,57
cows Harvest,2505.47,06/01/23,82
seed drill Harvest,9132.87,21/07/22,94
coconut Investment,7336.25,11/08/23,42
pig Harvest,2257.68,20/01/23,59
tea Harvest,5721.1,19/02/23,92
irrigation system Harvest,3804,15/06/22,36
millets Investment,2870.04,26/02/23,90
duck Investment,126.5,24/11/23,91
sheep Harvest,6907.7,08/10/23,98
fruit Investment,9185.83,23/05/23,67
pulses Investment,3515.12,11/03/23,21
cotton Harvest,6014.94,31/07/23,89
sheep Investment,3269.12,14/02/24,14
groundnut Investment,2205.64,09/03/22,47
rubber Investment,9484.25,03/10/22,17
coffee Harvest,9169.03,29/08/22,38
cow Harvest,1926.41,06/01/22,40
plough Harvest,830.6,30/04/22,43
horse Investment,3899.89,17/08/22,72
harvester Harvest,807.27,29/03/22,80
irrigation system Harvest,4213.25,07/08/22,66
buffalo Investment,944.71,28/05/23,53
seed drill Harvest,6296.63,06/12/22,72
horse Harvest,5298.32,04/06/22,1
hen Harvest,5268.17,13/08/22,69
seed drill Investment,937.57,01/02/22,82
plough Investment,4736.88,21/01/24,90
groundnut Harvest,1847.95,07/09/22,1
seed drill Investment,6750.52,14/09/23,23
tractor Investment,3866.15,11/03/22,62
irrigation system Investment,7366.19,03/05/24,87
cow Investment,5315.39,29/01/22,80
wheat Harvest,961.3,01/03/22,4
buffalo Investment,4509.28,13/04/22,26
horse Harvest,3220.27,27/04/24,45
sheep Investment,6212.54,19/01/24,96
sugarcane Harvest,8368.45,08/09/22,53
fish Investment,4634.13,09/04/22,35
tea Harvest,9079.45,13/03/22,58
maize Harvest,9214.83,07/05/24,96
rice Harvest,6192.19,22/04/24,13
sugarcane Investment,4920.08,17/08/22,16
vegetable Investment,2357.81,23/09/23,25
goats Harvest,6238.98,25/06/22,90
horse Harvest,3074.95,11/06/23,27
irrigation system Harvest,6965.53,11/02/24,6
sugarcane Investment,7987.35,23/10/22,10
duck Investment,9098.2,03/06/22,36
tractor Investment,5554.04,01/08/23,39
