item_name,amount,type,date,farm_owner_id
cotton,3075.57,Investment,2023-02-18,71
maize,5651.3,Harvest,2023-05-27,11
seed drill,2722.32,Harvest,2024-02-03,34
goat,8229.97,Harvest,2023-09-15,49
groundnut,4908.01,Investment,2022-08-22,79
fertilizer spreader,1634.13,Harvest,2022-06-08,29
tractor,8668.89,Investment,2022-01-18,81
harvester,8236.81,Harvest,2022-12-04,42
sprayer,9882.16,Harvest,2022-11-16,80
goats,743.49,Harvest,2022-08-20,41
vegetable,1017.67,Harvest,2023-04-19,22
sugarcane,8371.74,Harvest,2022-02-20,29
cotton,2766.36,Investment,2022-06-24,3
cows,351.56,Investment,2022-11-08,76
sprayer,8032.07,Investment,2022-04-30,33
sheep,5989.85,Investment,2022-08-27,67
coffee,1383.16,Harvest,2023-10-10,99
tea,1086.22,Harvest,2023-10-11,24
pulses,592.53,Harvest,2022-12-05,59
sugarcane,7972.43,Investment,2024-04-22,47
duck,5729.13,Investment,2022-10-07,52
fruit,1293.61,Investment,2022-05-14,79
buffalo,8303.96,Harvest,2022-04-18,66
cow,6407.14,Investment,2023-07-20,69
tractor,6601.35,Investment,2024-06-02,39
pulses,3509.83,Harvest,2022-06-15,55
irrigation system,3139.44,Harvest,2024-05-29,7
buffalo,4852.94,Harvest,2022-09-24,18
sugarcane,7738.8,Investment,2023-04-11,7
tea,5150.24,Investment,2022-04-11,26
pulses,8357.18,Harvest,2022-03-16,65
turkey,4798.77,Harvest,2024-02-01,42
tea,6839.24,Investment,2024-03-24,61
goat,9193.66,Investment,2022-07-13,47
sheep,4458.87,Investment,2022-10-17,73
fruit,8120.11,Harvest,2024-04-27,25
horse,1256.54,Harvest,2024-03-08,97
wheat,7706.48,Investment,2024-05-24,14
fish,6404.52,Harvest,2024-01-29,30
tractor,5595.99,Harvest,2022-10-24,56
coffee,866.41,Harvest,2024-01-27,80
buffalo,9168.75,Investment,2022-11-14,7
irrigation system,773.09,Investment,2023-09-19,79
goat,3983.91,Harvest,2024-06-12,90
cows,5828.54,Harvest,2022-10-16,5
groundnut,4961.57,Harvest,2024-05-11,69
horse,8573.21,Investment,2022-08-24,46
millets,3372.68,Investment,2023-10-04,36
coconut,550.77,Harvest,2023-08-08,85
hen,5749.48,Harvest,2024-04-11,27
goat,7192.75,Investment,2023-06-08,72
sugarcane,808.97,Harvest,2022-10-01,59
coconut,1840.9,Investment,2022-01-03,100
fertilizer spreader,6813.2,Harvest,2024-06-06,75
duck,3898.2,Harvest,2023-10-03,46
goat,6243.65,Investment,2022-08-10,38
pig,9183.88,Investment,2022-06-23,42
coffee,6917.58,Harvest,2023-05-13,15
millets,6254.19,Harvest,2024-01-02,46
fertilizer spreader,2499.54,Investment,2023-03-11,77
fish,3175.72,Harvest,2022-04-22,56
cows,2130.03,Harvest,2024-02-23,88
sheep,6281.29,Harvest,2023-06-13,29
cow,7810.79,Investment,2023-11-25,56
poultry,217.73,Harvest,2023-01-04,15
cow,7863.73,Investment,2022-12-21,51
seed drill,8006.92,Investment,2022-11-03,73
duck,7202.14,Harvest,2024-03-18,25
cows,9496.92,Harvest,2023-09-18,76
coffee,1947.83,Investment,2024-05-05,46
duck,8946.7,Investment,2023-06-20,92
buffalo,8737.46,Investment,2022-03-01,4
turkey,834.71,Harvest,2022-10-28,86
fruit,2003.85,Investment,2022-10-22,54
hen,2487.13,Investment,2023-05-03,47
sugarcane,5937.82,Investment,2022-04-25,32
cow,7867.13,Investment,2023-10-29,76
rubber,4748.21,Investment,2024-05-09,79
seed drill,3756.91,Harvest,2022-07-07,84
harvester,388.56,Harvest,2022-05-05,99
coconut,6509.44,Harvest,2023-04-30,81
cow,8352.61,Investment,2023-04-06,97
sheep,1383.21,Investment,2023-04-28,15
fertilizer spreader,7142.5,Investment,2023-12-07,12
goat,8038.9,Investment,2023-10-04,7
buffalo,278.22,Investment,2022-03-11,86
cow,5811.94,Investment,2023-10-21,96
rubber,1782.99,Harvest,2022-01-14,46
vegetable,8897.77,Harvest,2022-11-12,21
plough,5322.84,Harvest,2022-02-14,47
sprayer,4377.54,Harvest,2022-03-26,49
cows,4990.12,Harvest,2023-06-16,80
rubber,5598.94,Investment,2023-05-08,98
seed drill,6575.47,Investment,2022-08-26,76
goat,872.88,Harvest,2022-10-26,99
goats,5197.74,Harvest,2022-10-26,23
sugarcane,169.3,Harvest,2023-10-03,80
tea,7741.34,Harvest,2022-05-07,69
wheat,6494.5,Harvest,2023-09-11,10
plough,8525.14,Investment,2023-08-15,17
hen,747.53,Harvest,2023-10-10,50
hen,1985.67,Harvest,2022-08-15,46
plough,4425.49,Investment,2022-04-13,50
sprayer,598.83,Investment,2024-04-29,28
wheat,4711.34,Harvest,2022-09-11,97
sugarcane,6880.34,Harvest,2023-03-17,6
plough,7778.37,Investment,2022-10-12,18
irrigation system,2709.61,Investment,2022-03-11,100
cow,8301.22,Investment,2024-01-16,98
cotton,6122.17,Investment,2023-04-24,6
coffee,3223.06,Harvest,2023-01-30,81
poultry,3235.67,Investment,2022-12-11,82
rubber,7924.58,Harvest,2022-05-23,32
harvester,2474.26,Harvest,2022-09-24,24
poultry,4087.38,Investment,2024-03-03,7
duck,5865.25,Harvest,2024-02-22,6
cotton,3831.2,Investment,2022-02-26,13
goat,1561.08,Harvest,2022-06-06,12
goat,2724.17,Harvest,2023-11-20,39
duck,9064.56,Investment,2022-03-07,52
fruit,5621.95,Investment,2023-07-06,81
duck,6384.84,Harvest,2024-03-07,25
seed drill,7648.25,Harvest,2024-04-27,36
rice,2638.51,Investment,2023-10-21,11
pig,2597.73,Investment,2022-05-11,73
seed drill,7221.55,Investment,2023-12-18,15
coconut,2604.18,Investment,2022-12-25,59
buffalo,5357.05,Harvest,2024-04-28,38
maize,4393.59,Harvest,2023-12-05,77
seed drill,518.16,Investment,2023-04-13,46
groundnut,4397.65,Harvest,2022-07-19,37
vegetable,9835.84,Investment,2022-06-10,69
seed drill,9034.18,Harvest,2023-07-26,79
irrigation system,6953.3,Harvest,2023-12-19,81
poultry,9256.58,Investment,2024-05-31,94
cotton,293.06,Harvest,2023-03-01,84
hen,6255.45,Investment,2022-04-20,25
poultry,7920.39,Investment,2023-09-09,16
rubber,4600.11,Investment,2022-05-27,78
tea,641.43,Harvest,2022-03-23,80
sugarcane,598.93,Harvest,2024-04-28,74
sugarcane,9721.1,Harvest,2022-04-08,35
harvester,2206.42,Investment,2024-03-13,36
groundnut,4767.15,Investment,2022-08-24,46
coconut,2177.77,Investment,2024-01-11,82
rubber,9157.84,Investment,2024-05-14,73
coffee,8558.88,Investment,2023-09-17,51
groundnut,3314.84,Investment,2023-03-23,1
harvester,4371.63,Harvest,2024-01-20,49
cotton,3919.02,Investment,2022-05-07,89
fertilizer spreader,9888.91,Harvest,2023-12-10,94
pig,3683.51,Investment,2023-05-08,1
duck,3939.75,Harvest,2022-04-04,78
fertilizer spreader,1450.78,Harvest,2023-01-29,33
rubber,3477.81,Investment,2022-10-21,17
duck,6638.03,Investment,2023-06-10,80
vegetable,9420.5,Harvest,2023-03-23,94
tea,3042.63,Investment,2022-05-12,60
turkey,8146.17,Investment,2022-05-21,19
harvester,4278.75,Harvest,2024-02-12,14
fertilizer spreader,9563.88,Harvest,2022-11-18,62
rubber,1793.63,Harvest,2023-07-08,23
vegetable,8177.07,Investment,2023-10-14,66
cow,6488.35,Harvest,2022-10-28,97
rubber,3285.89,Harvest,2022-04-12,76
pig,8611.62,Investment,2022-10-19,2
plough,9868.56,Harvest,2023-06-23,1
seed drill,9744.99,Investment,2022-02-23,56
sprayer,9097.0,Harvest,2022-06-21,56
groundnut,3199.59,Investment,2024-02-02,54
duck,2904.88,Investment,2022-08-08,10
vegetable,4138.52,Harvest,2024-03-14,12
plough,3613.18,Harvest,2024-01-29,25
plough,2423.58,Investment,2024-05-05,56
rubber,601.82,Investment,2022-09-16,87
sugarcane,4608.16,Investment,2022-12-22,48
goat,2783.13,Investment,2023-07-17,27
coffee,3966.49,Investment,2024-05-13,62
fish,9319.33,Investment,2022-12-24,87
cows,5627.72,Harvest,2022-06-30,62
cows,9936.85,Investment,2023-06-22,91
horse,425.93,Investment,2023-02-17,4
fish,2934.12,Investment,2022-01-20,86
buffalo,1416.55,Investment,2023-11-26,19
irrigation system,7663.23,Harvest,2023-09-16,63
tea,2823.94,Harvest,2022-09-27,37
coffee,1874.28,Investment,2023-12-01,11
cotton,6489.82,Investment,2023-05-14,97
millets,4764.06,Investment,2023-12-05,10
cotton,8393.12,Harvest,2022-04-14,2
goat,709.49,Harvest,2024-03-04,72
sheep,7613.15,Harvest,2024-04-03,5
goat,960.54,Harvest,2022-11-27,79
cows,6859.56,Harvest,2024-02-24,9
sheep,2824.13,Investment,2023-05-21,20
horse,2155.41,Harvest,2022-11-03,18
maize,3242.57,Investment,2022-04-20,13
cotton,6011.03,Investment,2024-03-24,4
pulses,9271.55,Investment,2023-03-04,66
seed drill,9168.88,Harvest,2022-08-07,8
millets,9640.82,Harvest,2024-04-09,11
coconut,6001.47,Investment,2023-08-21,46
duck,4471.99,Harvest,2023-03-08,25
poultry,3034.91,Investment,2022-06-17,74
groundnut,8293.37,Harvest,2023-05-10,16
fruit,938.16,Harvest,2023-02-06,5
harvester,5116.02,Investment,2022-01-05,76
cotton,2198.04,Investment,2022-10-04,17
fertilizer spreader,756.66,Investment,2023-04-02,64
cows,3115.75,Harvest,2022-11-17,59
groundnut,349.07,Investment,2023-04-30,73
buffalo,4898.38,Investment,2024-04-15,19
cotton,1919.76,Investment,2024-02-23,94
coffee,6922.32,Harvest,2023-09-22,72
irrigation system,4507.29,Harvest,2023-02-04,95
fruit,3392.36,Investment,2023-04-07,100
harvester,5359.59,Investment,2023-11-13,46
cow,2227.21,Investment,2024-02-21,26
poultry,7150.38,Harvest,2023-06-05,13
duck,5780.85,Harvest,2024-03-31,9
rubber,3445.61,Investment,2022-05-14,81
horse,2214.64,Harvest,2023-03-31,78
fruit,531.83,Harvest,2022-05-15,20
cows,3354.74,Investment,2024-02-17,4
vegetable,169.5,Harvest,2022-11-24,86
cotton,7551.13,Investment,2022-12-05,54
tractor,640.76,Investment,2022-03-05,2
millets,4652.38,Investment,2022-11-05,65
horse,5795.39,Investment,2023-05-26,35
coconut,1887.54,Investment,2022-06-09,81
cow,7830.56,Investment,2023-08-01,78
harvester,321.52,Investment,2023-01-18,7
turkey,7712.87,Investment,2022-05-05,31
fruit,4447.34,Harvest,2022-08-26,8
tractor,5881.59,Investment,2023-02-01,67
vegetable,3158.77,Harvest,2023-12-07,96
sugarcane,2317.13,Investment,2022-11-30,39
harvester,2934.1,Investment,2022-03-08,55
pulses,9547.38,Harvest,2023-11-11,93
rice,2619.1,Investment,2023-05-21,66
cotton,6423.41,Harvest,2022-01-11,66
rice,6106.25,Investment,2022-10-29,42
wheat,3741.04,Investment,2024-04-04,37
poultry,1321.61,Harvest,2022-12-25,100
wheat,3837.79,Investment,2023-12-14,3
tea,1757.04,Investment,2022-06-06,33
duck,3145.48,Investment,2023-11-03,36
hen,2535.8,Harvest,2022-10-25,100
buffalo,4471.48,Harvest,2023-09-07,9
duck,4967.0,Investment,2022-09-27,16
fertilizer spreader,5202.56,Harvest,2024-01-08,39
tractor,6388.68,Harvest,2022-03-18,33
hen,1486.16,Harvest,2022-05-22,57
poultry,404.61,Harvest,2022-04-11,88
plough,4827.7,Investment,2023-12-18,10
turkey,165.46,Investment,2022-11-18,11
cows,1962.01,Investment,2024-04-16,29
tractor,6559.77,Harvest,2023-03-10,44
sheep,1645.06,Harvest,2023-01-28,77
harvester,9101.88,Investment,2022-07-17,63
duck,2052.86,Harvest,2022-04-06,72
cotton,5826.35,Investment,2023-04-30,68
cows,8860.79,Investment,2023-11-08,65
coffee,6545.66,Harvest,2024-04-05,11
turkey,4787.6,Investment,2024-04-06,20
hen,1422.46,Harvest,2023-01-06,83
vegetable,8315.59,Investment,2022-12-27,61
fruit,616.03,Investment,2022-01-17,53
duck,8276.87,Investment,2022-05-10,97
goats,9075.23,Investment,2024-01-13,71
wheat,2215.8,Investment,2023-08-14,79
sugarcane,2051.6,Investment,2022-06-30,69
rubber,8296.97,Investment,2022-11-02,6
buffalo,2091.86,Harvest,2023-10-22,13
duck,5656.39,Investment,2023-06-08,84
rice,2040.24,Harvest,2024-02-24,85
coffee,2045.47,Investment,2022-02-19,79
sugarcane,2304.25,Harvest,2022-07-07,95
cow,9395.22,Investment,2022-08-27,25
pulses,2882.36,Harvest,2022-10-14,89
pig,481.39,Investment,2023-03-06,5
fruit,2283.34,Investment,2022-08-21,27
rice,6325.37,Investment,2024-05-07,6
hen,363.51,Investment,2023-03-24,46
wheat,4656.01,Investment,2022-12-10,37
pig,5102.79,Investment,2024-02-12,82
wheat,3563.83,Investment,2024-03-13,79
fertilizer spreader,9735.62,Harvest,2024-06-02,77
seed drill,8871.0,Harvest,2022-02-14,10
rice,5253.05,Investment,2023-01-27,69
vegetable,3359.88,Harvest,2024-05-26,38
fruit,1055.53,Harvest,2022-03-23,17
fish,1437.99,Investment,2024-04-23,86
fruit,9556.08,Harvest,2024-02-18,19
maize,1450.19,Harvest,2022-02-08,61
vegetable,7944.0,Harvest,2023-05-08,26
duck,6180.81,Harvest,2023-04-21,90
rubber,1291.59,Investment,2022-07-02,98
pig,9971.71,Harvest,2022-05-08,89
harvester,9921.96,Investment,2023-03-25,19
horse,9183.03,Investment,2023-01-17,79
horse,5571.51,Harvest,2023-11-03,39
plough,9048.54,Harvest,2022-11-08,88
tractor,9166.0,Harvest,2022-08-04,74
hen,9631.36,Harvest,2022-08-19,89
plough,7776.87,Investment,2022-08-13,33
pig,148.75,Investment,2022-08-20,50
seed drill,7008.25,Harvest,2023-08-05,31
poultry,7339.7,Investment,2024-02-16,18
groundnut,112.53,Investment,2023-08-03,93
groundnut,2406.17,Harvest,2024-05-06,64
hen,1320.8,Harvest,2022-08-19,27
vegetable,4706.24,Harvest,2023-04-11,71
poultry,7704.93,Harvest,2022-05-27,26
pig,1340.75,Harvest,2022-05-06,51
seed drill,1203.71,Harvest,2023-05-20,33
buffalo,2475.66,Investment,2022-03-06,43
plough,8483.58,Harvest,2022-04-04,89
cow,2699.66,Harvest,2023-11-16,34
fertilizer spreader,7198.53,Investment,2023-12-19,66
hen,210.53,Investment,2024-01-10,79
duck,8155.14,Investment,2022-04-26,13
duck,3784.89,Investment,2023-12-26,74
buffalo,4474.7,Harvest,2023-10-04,63
cows,2949.95,Harvest,2023-11-01,100
tractor,6176.31,Investment,2024-06-07,47
sugarcane,7225.62,Investment,2022-02-15,45
cows,5372.72,Investment,2023-03-14,7
pig,7600.78,Harvest,2023-07-08,83
horse,6112.24,Investment,2022-07-05,15
wheat,6551.13,Harvest,2024-03-07,29
coconut,9944.49,Investment,2023-01-11,42
plough,1387.71,Investment,2022-03-15,48
turkey,4758.14,Investment,2022-08-13,9
seed drill,9859.08,Harvest,2022-04-25,79
coffee,5784.65,Investment,2023-12-19,53
cow,4909.83,Harvest,2024-06-12,2
coconut,4468.63,Harvest,2024-06-05,53
harvester,2422.57,Investment,2023-09-24,40
poultry,4075.56,Harvest,2022-09-22,77
plough,626.12,Investment,2023-05-25,96
fruit,9402.91,Investment,2023-11-06,79
turkey,5828.98,Investment,2024-01-13,60
maize,4628.98,Investment,2022-11-01,16
horse,3402.72,Investment,2022-03-01,94
cotton,5307.09,Investment,2024-03-22,89
tea,1990.09,Harvest,2023-11-28,31
cows,2757.11,Harvest,2022-01-11,12
groundnut,6652.88,Investment,2023-11-04,42
maize,3879.78,Harvest,2022-02-22,13
fruit,3515.25,Investment,2022-12-29,69
maize,4522.3,Harvest,2022-04-24,9
coconut,4958.65,Harvest,2024-06-08,24
cotton,4234.27,Harvest,2022-04-03,25
vegetable,4611.1,Investment,2023-11-09,19
cows,3571.2,Harvest,2024-02-17,30
tractor,3893.88,Harvest,2022-10-05,59
buffalo,3863.33,Harvest,2024-02-03,1
harvester,6687.24,Investment,2022-01-11,7
rubber,6215.03,Investment,2023-08-09,35
buffalo,5952.74,Investment,2022-09-01,51
duck,6129.03,Investment,2024-03-07,24
irrigation system,3248.87,Investment,2022-07-24,31
cow,8362.03,Harvest,2023-06-28,58
wheat,5873.65,Harvest,2023-03-23,76
duck,4154.4,Investment,2022-11-21,40
cow,8663.69,Harvest,2022-09-19,18
duck,6940.38,Investment,2023-04-22,2
goat,4618.31,Investment,2023-04-02,10
fertilizer spreader,5126.83,Harvest,2024-01-23,39
coffee,4415.22,Investment,2022-02-14,20
cows,5806.88,Investment,2023-10-06,75
maize,2608.89,Investment,2022-06-27,53
buffalo,1366.61,Investment,2023-05-14,7
coffee,2645.9,Harvest,2022-06-10,19
cow,8983.81,Harvest,2022-10-25,11
maize,854.23,Harvest,2024-06-08,21
poultry,860.74,Investment,2023-01-24,55
irrigation system,9589.28,Harvest,2023-02-25,83
buffalo,5849.73,Harvest,2022-09-12,100
wheat,1748.55,Investment,2022-01-27,40
plough,7129.68,Investment,2023-02-25,26
cows,6717.37,Harvest,2022-03-10,57
maize,6752.78,Investment,2023-03-16,12
pulses,3721.17,Harvest,2022-02-05,32
tea,3415.83,Investment,2023-03-25,18
cotton,9871.99,Harvest,2023-01-05,21
fruit,2877.07,Investment,2023-04-15,68
tea,2295.08,Investment,2022-04-06,9
pulses,9282.61,Investment,2023-04-26,55
cow,3308.2,Harvest,2022-05-05,85
sheep,9420.78,Investment,2024-04-20,89
tea,7474.58,Investment,2023-06-03,94
turkey,993.77,Investment,2023-05-14,99
groundnut,1581.7,Investment,2022-02-19,89
goat,8050.71,Harvest,2022-10-04,31
fish,4212.64,Harvest,2022-06-19,26
coconut,1076.51,Harvest,2023-09-15,76
cow,2763.1,Harvest,2024-01-08,57
rice,5629.53,Investment,2022-12-27,3
sheep,2590.14,Harvest,2022-11-20,30
sheep,2520.96,Harvest,2022-08-13,69
vegetable,7470.86,Harvest,2022-07-07,11
cow,7291.06,Harvest,2022-04-13,86
sheep,4560.4,Harvest,2022-06-05,5
horse,158.4,Investment,2023-08-28,61
buffalo,8440.47,Harvest,2022-08-18,10
tea,3109.14,Investment,2023-07-20,68
hen,1510.89,Investment,2022-07-26,93
seed drill,2996.0,Investment,2024-06-14,30
sheep,7548.05,Investment,2024-06-16,95
fish,6503.43,Investment,2023-01-15,22
seed drill,4633.1,Harvest,2022-11-13,31
tea,9324.95,Investment,2022-10-29,17
rice,4036.46,Harvest,2022-03-08,16
vegetable,7727.71,Investment,2023-03-27,25
plough,4234.71,Investment,2022-02-26,60
rubber,1653.31,Investment,2023-09-25,27
millets,295.08,Investment,2023-02-27,20
tea,2027.47,Harvest,2022-01-23,87
pig,441.45,Investment,2023-03-04,98
fertilizer spreader,2248.55,Harvest,2022-02-05,66
harvester,5437.8,Investment,2024-01-30,48
buffalo,8554.41,Investment,2023-06-08,52
poultry,1193.61,Investment,2022-04-30,68
horse,2598.34,Harvest,2022-09-08,68
rubber,1183.22,Harvest,2022-05-23,60
cotton,9799.06,Harvest,2023-02-07,1
coffee,5668.49,Harvest,2023-03-03,60
turkey,5618.69,Investment,2023-08-27,59
harvester,7793.52,Harvest,2023-08-21,7
pulses,6771.85,Investment,2023-01-17,55
horse,4633.62,Harvest,2022-04-30,22
