sentence,item_start,item_end,amount_start,amount_end
"Today, The cost of jamun saplings was 42415 rupees.",19,33,38,43
"Just now, Paid 17175 rupees to buy banana plants.",35,48,15,20
"On Monday, Last week, solar water pump was sold for 5573 rupees.",22,38,52,56
"Today, I invested 29284 rupees for buying onion seeds.",42,53,18,23
"Just now, Harvested banana plants and sold for 27084 rupees.",20,33,47,52
"On Monday, Paid 34046 rupees to buy onion seeds.",36,47,16,21
"In the evening, Harvest of fertilizer brought in 42190 INR.",27,37,49,54
"Recently, Used 16674 rupees to buy organic compost.",35,50,15,20
"Just now, Purchased mango saplings at 3779 rupees.",20,34,38,42
"Recently, Spent 35558 INR on purchasing mango saplings for my farm.",40,54,16,21
"In the evening, Acquired rice seeds by paying 42665 rupees.",25,35,46,51
"Last month, Around noon, I spent 21114 rupees on pesticide.",49,58,33,38
"In the evening, Bought tomato plants today and paid 21525 rupees.",23,36,52,57
"On Monday, Invested 24634 for purchasing tomato plants.",41,54,20,25
Cost of harvesting machine amounted to 45965 rupees.,8,26,39,44
"Yesterday, Paid 14220 rupees to buy solar water pump.",36,52,16,21
"In the evening, I invested 38553 rupees for buying goat.",51,55,27,32
"Just now, Used 38420 rupees to buy jamun saplings.",35,49,15,20
Received 2782 rupees from selling poultry feed.,34,46,9,13
"Recently, Paid 9254 rupees to buy cow.",34,37,15,19
"Early morning, Last week, poultry feed was sold for 37900 rupees.",26,38,52,57
"Just now, Invested 27995 for purchasing wheat seeds.",40,51,19,24
"Just now, Purchased mango saplings at 3750 rupees.",20,34,38,42
"During the season, Sold cow in the market and earned 40040 rupees.",24,27,53,58
"On Monday, Around noon, I spent 24181 rupees on fertilizer.",48,58,32,37
Harvested banana plants and sold for 33945 rupees.,10,23,37,42
"In the evening, Bought jamun saplings today and paid 42415 rupees.",23,37,53,58
"On Monday, Used 46993 rupees to buy goat.",36,40,16,21
"Just now, I invested 4960 rupees for buying poultry feed.",44,56,21,25
"In the evening, Harvested solar water pump and sold for 44589 rupees.",26,42,56,61
"Early morning, Amount paid for goat was 31882 rupees.",31,35,40,45
I invested 45640 rupees for buying duck feed.,35,44,11,16
"During the season, Last week, rice seeds was sold for 23331 rupees.",30,40,54,59
"Recently, Sold goat in the market and earned 162 rupees.",15,19,45,48
"Last month, Last week, onion seeds was sold for 20854 rupees.",23,34,48,53
"Early morning, Acquired tomato plants by paying 34189 rupees.",24,37,48,53
"Today, Invested 48017 for purchasing tractor repair.",37,51,16,21
"Recently, Amount paid for harvesting machine was 4751 rupees.",26,44,49,53
"Last month, I gave 660 rupees as investment for organic compost.",48,63,19,22
"Early morning, Received 8558 rupees from selling jamun saplings.",49,63,24,28
"Just now, Sold greenhouse setup in the market and earned 39955 rupees.",15,31,57,62
"Last month, Sold organic compost in the market and earned 12039 rupees.",17,32,58,63
Purchased rice seeds at 15559 rupees.,10,20,24,29
Harvested tomato plants and sold for 3506 rupees.,10,23,37,41
"Early morning, Last week, organic compost was sold for 38140 rupees.",26,41,55,60
"In the evening, The expense for coconut trees was 26275 rupees.",32,45,50,55
"On Monday, Last week, cow was sold for 29094 rupees.",22,25,39,44
"Yesterday, The cost of goat was 44488 rupees.",23,27,32,37
"Just now, Amount paid for goat was 40750 rupees.",26,30,35,40
"In the evening, Invested 21497 for purchasing pesticide.",46,55,25,30
"Just now, Acquired organic compost by paying 31177 rupees.",19,34,45,50
The expense for fertilizer was 37679 rupees.,16,26,31,36
"Just now, Used 46877 rupees to buy tomato plants.",35,48,15,20
Cost of coconut trees amounted to 25575 rupees.,8,21,34,39
"Yesterday, Paid 23172 rupees to buy duck feed.",36,45,16,21
"During the season, Cost of tractor repair amounted to 20214 rupees.",27,41,54,59
Purchased solar water pump at 12887 rupees.,10,26,30,35
"Just now, Last week, greenhouse setup was sold for 42119 rupees.",21,37,51,56
"Today, Cost of greenhouse setup amounted to 7630 rupees.",15,31,44,48
"In the evening, Spent 30940 INR on purchasing irrigation pipe for my farm.",46,61,22,27
"Last month, Used 162 rupees to buy fertilizer.",35,45,17,20
"Just now, Sold mango saplings in the market and earned 28255 rupees.",15,29,55,60
"Just now, Purchased solar water pump at 33142 rupees.",20,36,40,45
"Yesterday, Cost of coconut trees amounted to 24986 rupees.",19,32,45,50
Acquired pesticide by paying 2626 rupees.,9,18,29,33
"On Monday, Harvested fertilizer and sold for 6366 rupees.",21,31,45,49
"On Monday, Harvested cow and sold for 45007 rupees.",21,24,38,43
"Early morning, Paid 20242 rupees to buy fertilizer.",40,50,20,25
"Just now, Purchased fertilizer at 16934 rupees.",20,30,34,39
"Today, I invested 45613 rupees for buying banana plants.",42,55,18,23
"Just now, I spent 42127 rupees on tomato plants last month.",34,47,18,23
"Around noon, I spent 17311 rupees on solar water pump.",37,53,21,26
"Yesterday, The cost of mango saplings was 18946 rupees.",23,37,42,47
"Today, Purchased tomato plants at 20497 rupees.",17,30,34,39
"In the evening, I gave 15145 rupees as investment for goat.",54,58,23,28
"Today, Amount paid for mango saplings was 29863 rupees.",23,37,42,47
"Today, Purchased poultry feed at 27995 rupees.",17,29,33,38
"On Monday, Harvest of banana plants brought in 7806 INR.",22,35,47,51
"Recently, Purchased wheat seeds at 30234 rupees.",20,31,35,40
"Today, Harvest of onion seeds brought in 39578 INR.",18,29,41,46
"In the evening, Bought poultry feed today and paid 711 rupees.",23,35,51,54
"Today, Invested 39338 for purchasing goat.",37,41,16,21
"Last month, I gave 11298 rupees as investment for fertilizer.",50,60,19,24
Purchased poultry feed at 29094 rupees.,10,22,26,31
"Recently, Received 17072 rupees from selling solar water pump.",45,61,19,24
"In the evening, I gave 30013 rupees as investment for tomato plants.",54,67,23,28
"Just now, Used 209 rupees to buy jamun saplings.",33,47,15,18
"In the evening, Harvested jamun saplings and sold for 31772 rupees.",26,40,54,59
"On Monday, Acquired rice seeds by paying 14053 rupees.",20,30,41,46
"Today, Amount paid for harvesting machine was 3852 rupees.",23,41,46,50
"On Monday, Cost of rice seeds amounted to 22169 rupees.",19,29,42,47
"Yesterday, I gave 12039 rupees as investment for pesticide.",49,58,18,23
"Just now, I invested 47352 rupees for buying tractor repair.",45,59,21,26
"Just now, Used 10061 rupees to buy fertilizer.",35,45,15,20
Spent 49279 INR on purchasing cow for my farm.,30,33,6,11
I spent 36520 rupees on harvesting machine last month.,24,42,8,13
"During the season, Amount paid for cow was 22171 rupees.",35,38,43,48
"Today, Used 5924 rupees to buy tomato plants.",31,44,12,16
"In the evening, Harvest of irrigation pipe brought in 3779 INR.",27,42,54,58
"Yesterday, Bought irrigation pipe today and paid 16746 rupees.",18,33,49,54
"On Monday, Paid 22836 rupees to buy mango saplings.",36,50,16,21
"Today, Last week, pesticide was sold for 42061 rupees.",18,27,41,46
"During the season, Received 17072 rupees from selling poultry feed.",54,66,28,33
"On Monday, The expense for pesticide was 36381 rupees.",27,36,41,46
"Recently, Bought rice seeds today and paid 30269 rupees.",17,27,43,48
Acquired poultry feed by paying 24273 rupees.,9,21,32,37
"During the season, The cost of poultry feed was 20145 rupees.",31,43,48,53
I spent 3405 rupees on mango saplings last month.,23,37,8,12
"On Monday, Around noon, I spent 10060 rupees on irrigation pipe.",48,63,32,37
"Today, Harvest of onion seeds brought in 10363 INR.",18,29,41,46
"Yesterday, Harvested cow and sold for 25138 rupees.",21,24,38,43
"Yesterday, Around noon, I spent 11549 rupees on fertilizer.",48,58,32,37
"During the season, Purchased greenhouse setup at 44764 rupees.",29,45,49,54
"On Monday, Acquired harvesting machine by paying 8714 rupees.",20,38,49,53
"Just now, I spent 39827 rupees on tomato plants last month.",34,47,18,23
"Recently, Paid 39089 rupees to buy irrigation pipe.",35,50,15,20
"Today, Amount paid for irrigation pipe was 28231 rupees.",23,38,43,48
"Yesterday, I invested 35558 rupees for buying wheat seeds.",46,57,22,27
"During the season, Used 6366 rupees to buy onion seeds.",43,54,24,28
"During the season, Acquired goat by paying 45650 rupees.",28,32,43,48
"Just now, Bought pesticide today and paid 1700 rupees.",17,26,42,46
"During the season, I invested 46727 rupees for buying poultry feed.",54,66,30,35
"During the season, Bought coconut trees today and paid 15030 rupees.",26,39,55,60
"On Monday, The expense for irrigation pipe was 11148 rupees.",27,42,47,52
"Yesterday, Purchased goat at 1921 rupees.",21,25,29,33
"Today, Acquired irrigation pipe by paying 35515 rupees.",16,31,42,47
"Recently, Sold rice seeds in the market and earned 16274 rupees.",15,25,51,56
"Early morning, Last week, cow was sold for 34275 rupees.",26,29,43,48
"Recently, I gave 3710 rupees as investment for organic compost.",47,62,17,21
"Just now, I invested 1781 rupees for buying pesticide.",44,53,21,25
"In the evening, The expense for greenhouse setup was 11054 rupees.",32,48,53,58
"On Monday, Harvest of mango saplings brought in 39467 INR.",22,36,48,53
"During the season, Sold irrigation pipe in the market and earned 19897 rupees.",24,39,65,70
"Early morning, Cost of banana plants amounted to 11148 rupees.",23,36,49,54
"Recently, Amount paid for tractor repair was 47508 rupees.",26,40,45,50
"In the evening, Received 17456 rupees from selling poultry feed.",51,63,25,30
"Recently, Purchased solar water pump at 45141 rupees.",20,36,40,45
Bought rice seeds today and paid 42415 rupees.,7,17,33,38
"Today, Paid 15736 rupees to buy fertilizer.",32,42,12,17
"In the evening, Received 45640 rupees from selling solar water pump.",51,67,25,30
"Recently, Invested 19066 for purchasing rice seeds.",40,50,19,24
"On Monday, Amount paid for tomato plants was 32721 rupees.",27,40,45,50
"During the season, Bought irrigation pipe today and paid 48694 rupees.",26,41,57,62
"Last month, Around noon, I spent 8446 rupees on wheat seeds.",48,59,33,37
"Early morning, Around noon, I spent 37856 rupees on coconut trees.",52,65,36,41
Harvested organic compost and sold for 7630 rupees.,10,25,39,43
"During the season, Paid 30800 rupees to buy rice seeds.",44,54,24,29
"Recently, Acquired greenhouse setup by paying 15084 rupees.",19,35,46,51
"Last month, I gave 31670 rupees as investment for fertilizer.",50,60,19,24
"Recently, Purchased harvesting machine at 4621 rupees.",20,38,42,46
"Last month, Used 48017 rupees to buy jamun saplings.",37,51,17,22
"Just now, Acquired wheat seeds by paying 13725 rupees.",19,30,41,46
"Just now, The cost of greenhouse setup was 35217 rupees.",22,38,43,48
"Just now, Last week, tractor repair was sold for 17293 rupees.",21,35,49,54
"During the season, I invested 20766 rupees for buying solar water pump.",54,70,30,35
Harvested organic compost and sold for 21625 rupees.,10,25,39,44
"During the season, Last week, cow was sold for 48015 rupees.",30,33,47,52
Spent 31812 INR on purchasing fertilizer for my farm.,30,40,6,11
"Today, Last week, poultry feed was sold for 7806 rupees.",18,30,44,48
"Just now, I gave 38807 rupees as investment for harvesting machine.",48,66,17,22
"Just now, Purchased coconut trees at 29284 rupees.",20,33,37,42
"In the evening, Spent 25336 INR on purchasing goat for my farm.",46,50,22,27
"On Monday, Around noon, I spent 31978 rupees on duck feed.",48,57,32,37
Bought fertilizer today and paid 40294 rupees.,7,17,33,38
"Yesterday, I invested 3710 rupees for buying goat.",45,49,22,26
"In the evening, Amount paid for tractor repair was 6286 rupees.",32,46,51,55
"Early morning, Purchased solar water pump at 48728 rupees.",25,41,45,50
"In the evening, I gave 660 rupees as investment for tomato plants.",52,65,23,26
"On Monday, The cost of coconut trees was 49178 rupees.",23,36,41,46
"Yesterday, Purchased duck feed at 46540 rupees.",21,30,34,39
"Yesterday, The cost of poultry feed was 33230 rupees.",23,35,40,45
The cost of organic compost was 41926 rupees.,12,27,32,37
"Early morning, Last week, banana plants was sold for 781 rupees.",26,39,53,56
"Early morning, I gave 42826 rupees as investment for pesticide.",53,62,22,27
"Recently, Paid 20001 rupees to buy greenhouse setup.",35,51,15,20
"During the season, Used 15275 rupees to buy tomato plants.",44,57,24,29
"Today, Invested 19687 for purchasing pesticide.",37,46,16,21
"Just now, Last week, irrigation pipe was sold for 9107 rupees.",21,36,50,54
"Just now, The expense for harvesting machine was 19288 rupees.",26,44,49,54
"Yesterday, I invested 22501 rupees for buying coconut trees.",46,59,22,27
"Yesterday, Acquired irrigation pipe by paying 34275 rupees.",20,35,46,51
The cost of fertilizer was 46222 rupees.,12,22,27,32
"Today, Amount paid for coconut trees was 37855 rupees.",23,36,41,46
"During the season, Received 22169 rupees from selling wheat seeds.",54,65,28,33
"Early morning, Paid 1402 rupees to buy solar water pump.",39,55,20,24
"Last month, Amount paid for tomato plants was 48604 rupees.",28,41,46,51
"In the evening, Used 35384 rupees to buy wheat seeds.",41,52,21,26
"During the season, Sold irrigation pipe in the market and earned 1985 rupees.",24,39,65,69
"Yesterday, Harvested organic compost and sold for 18265 rupees.",21,36,50,55
"Recently, Spent 564 INR on purchasing duck feed for my farm.",38,47,16,19
"Yesterday, Paid 35612 rupees to buy rice seeds.",36,46,16,21
"In the evening, Last week, onion seeds was sold for 8833 rupees.",27,38,52,56
Cost of harvesting machine amounted to 8084 rupees.,8,26,39,43
"During the season, I gave 20737 rupees as investment for pesticide.",57,66,26,31
"In the evening, I spent 18426 rupees on jamun saplings last month.",40,54,24,29
"In the evening, Acquired poultry feed by paying 37900 rupees.",25,37,48,53
"Yesterday, Harvested irrigation pipe and sold for 45557 rupees.",21,36,50,55
"Recently, Sold irrigation pipe in the market and earned 7165 rupees.",15,30,56,60
Paid 43205 rupees to buy mango saplings.,25,39,5,10
"Last month, Purchased jamun saplings at 13061 rupees.",22,36,40,45
"During the season, Paid 2498 rupees to buy mango saplings.",43,57,24,28
"During the season, Purchased fertilizer at 23604 rupees.",29,39,43,48
"During the season, Harvested pesticide and sold for 41055 rupees.",29,38,52,57
"On Monday, Purchased organic compost at 39827 rupees.",21,36,40,45
"Last month, Received 24969 rupees from selling jamun saplings.",47,61,21,26
"Last month, Cost of solar water pump amounted to 26822 rupees.",20,36,49,54
"Last month, Sold pesticide in the market and earned 10256 rupees.",17,26,52,57
"Last month, Paid 12591 rupees to buy wheat seeds.",37,48,17,22
"Early morning, Harvested jamun saplings and sold for 42269 rupees.",25,39,53,58
"Today, Bought greenhouse setup today and paid 45613 rupees.",14,30,46,51
"In the evening, Amount paid for tractor repair was 47397 rupees.",32,46,51,56
"Last month, Acquired harvesting machine by paying 23486 rupees.",21,39,50,55
"Last month, Spent 5912 INR on purchasing harvesting machine for my farm.",41,59,18,22
"Today, I gave 14289 rupees as investment for wheat seeds.",45,56,14,19
"Just now, Invested 16394 for purchasing mango saplings.",40,54,19,24
"Just now, Cost of greenhouse setup amounted to 1459 rupees.",18,34,47,51
"Recently, Bought organic compost today and paid 10949 rupees.",17,32,48,53
"Just now, Cost of cow amounted to 3848 rupees.",18,21,34,38
"Today, The expense for cow was 943 rupees.",23,26,31,34
"Today, Sold harvesting machine in the market and earned 8643 rupees.",12,30,56,60
"Recently, The expense for organic compost was 3935 rupees.",26,41,46,50
"In the evening, Invested 36095 for purchasing greenhouse setup.",46,62,25,30
"During the season, Harvested coconut trees and sold for 5774 rupees.",29,42,56,60
"Last month, Harvest of wheat seeds brought in 17072 INR.",23,34,46,51
"Recently, Invested 46100 for purchasing fertilizer.",40,50,19,24
"In the evening, I spent 28834 rupees on banana plants last month.",40,53,24,29
"Just now, Spent 29721 INR on purchasing banana plants for my farm.",40,53,16,21
"Early morning, I spent 24655 rupees on tomato plants last month.",39,52,23,28
"Early morning, I gave 3952 rupees as investment for rice seeds.",52,62,22,26
"Yesterday, Paid 38120 rupees to buy rice seeds.",36,46,16,21
The expense for tomato plants was 7814 rupees.,16,29,34,38
"Last month, Acquired goat by paying 47494 rupees.",21,25,36,41
"Last month, Acquired greenhouse setup by paying 43118 rupees.",21,37,48,53
"In the evening, Invested 16746 for purchasing fertilizer.",46,56,25,30
"Just now, Harvested cow and sold for 10092 rupees.",20,23,37,42
"During the season, Bought greenhouse setup today and paid 33550 rupees.",26,42,58,63
"During the season, Harvested greenhouse setup and sold for 12183 rupees.",29,45,59,64
"In the evening, The expense for greenhouse setup was 16394 rupees.",32,48,53,58
"Recently, Sold rice seeds in the market and earned 12851 rupees.",15,25,51,56
"Last month, I spent 33550 rupees on irrigation pipe last month.",36,51,20,25
"Early morning, The expense for onion seeds was 42898 rupees.",31,42,47,52
"Today, Paid 18797 rupees to buy organic compost.",32,47,12,17
"On Monday, Harvest of solar water pump brought in 46288 INR.",22,38,50,55
"Today, Sold mango saplings in the market and earned 37679 rupees.",12,26,52,57
"Yesterday, Around noon, I spent 48015 rupees on harvesting machine.",48,66,32,37
"Today, Acquired irrigation pipe by paying 13334 rupees.",16,31,42,47
"Today, Received 19680 rupees from selling greenhouse setup.",42,58,16,21
"Recently, Spent 42279 INR on purchasing tomato plants for my farm.",40,53,16,21
"On Monday, Sold jamun saplings in the market and earned 43582 rupees.",16,30,56,61
"Early morning, Bought poultry feed today and paid 21537 rupees.",22,34,50,55
"Early morning, The expense for organic compost was 35903 rupees.",31,46,51,56
"Today, Last week, solar water pump was sold for 8643 rupees.",18,34,48,52
"On Monday, Paid 44240 rupees to buy irrigation pipe.",36,51,16,21
"Today, Used 24141 rupees to buy harvesting machine.",32,50,12,17
Harvest of organic compost brought in 9572 INR.,11,26,38,42
"In the evening, Invested 681 for purchasing mango saplings.",44,58,25,28
"Yesterday, Harvested harvesting machine and sold for 24919 rupees.",21,39,53,58
"Early morning, The expense for rice seeds was 7165 rupees.",31,41,46,50
Cost of tractor repair amounted to 17879 rupees.,8,22,35,40
"Early morning, Harvested organic compost and sold for 42608 rupees.",25,40,54,59
"In the evening, Purchased banana plants at 33695 rupees.",26,39,43,48
"In the evening, I spent 1985 rupees on harvesting machine last month.",39,57,24,28
"Last month, Bought tomato plants today and paid 19680 rupees.",19,32,48,53
"Today, Sold rice seeds in the market and earned 14053 rupees.",12,22,48,53
"Today, Last week, goat was sold for 19665 rupees.",18,22,36,41
"Early morning, I gave 37472 rupees as investment for tomato plants.",53,66,22,27
"In the evening, Cost of solar water pump amounted to 38844 rupees.",24,40,53,58
"Recently, Harvest of poultry feed brought in 39811 INR.",21,33,45,50
"During the season, Paid 28539 rupees to buy onion seeds.",44,55,24,29
"Today, Cost of greenhouse setup amounted to 38303 rupees.",15,31,44,49
"Yesterday, Cost of jamun saplings amounted to 36550 rupees.",19,33,46,51
"Last month, Invested 33945 for purchasing coconut trees.",42,55,21,26
"Just now, Purchased onion seeds at 5270 rupees.",20,31,35,39
"Last month, Paid 42106 rupees to buy irrigation pipe.",37,52,17,22
"Yesterday, I gave 20385 rupees as investment for greenhouse setup.",49,65,18,23
Sold goat in the market and earned 20145 rupees.,5,9,35,40
"Last month, Cost of organic compost amounted to 6112 rupees.",20,35,48,52
"On Monday, Paid 6528 rupees to buy poultry feed.",35,47,16,20
"In the evening, Invested 23907 for purchasing onion seeds.",46,57,25,30
"On Monday, I gave 2534 rupees as investment for onion seeds.",48,59,18,22
"Early morning, Paid 39811 rupees to buy cow.",40,43,20,25
"During the season, Spent 16995 INR on purchasing solar water pump for my farm.",49,65,25,30
"Recently, I spent 12226 rupees on banana plants last month.",34,47,18,23
"Early morning, Around noon, I spent 33605 rupees on poultry feed.",52,64,36,41
"Just now, Acquired banana plants by paying 667 rupees.",19,32,43,46
"Last month, Spent 2514 INR on purchasing irrigation pipe for my farm.",41,56,18,22
"During the season, Harvested solar water pump and sold for 10949 rupees.",29,45,59,64
"On Monday, Used 30640 rupees to buy goat.",36,40,16,21
"Last month, I gave 47027 rupees as investment for banana plants.",50,63,19,24
"During the season, Acquired fertilizer by paying 40283 rupees.",28,38,49,54
"Just now, Harvested banana plants and sold for 1564 rupees.",20,33,47,51
"In the evening, Invested 1459 for purchasing pesticide.",45,54,25,29
"In the evening, Spent 34189 INR on purchasing organic compost for my farm.",46,61,22,27
"On Monday, I spent 47189 rupees on duck feed last month.",35,44,19,24
"Just now, Amount paid for mango saplings was 23384 rupees.",26,40,45,50
"Early morning, Used 3405 rupees to buy cow.",39,42,20,24
I spent 34275 rupees on coconut trees last month.,24,37,8,13
"On Monday, Purchased poultry feed at 35235 rupees.",21,33,37,42
"During the season, Around noon, I spent 36550 rupees on mango saplings.",56,70,40,45
"Early morning, Sold pesticide in the market and earned 32886 rupees.",20,29,55,60
"Recently, Paid 18861 rupees to buy harvesting machine.",35,53,15,20
"In the evening, Purchased pesticide at 48243 rupees.",26,35,39,44
"Recently, Invested 34203 for purchasing duck feed.",40,49,19,24
"On Monday, Cost of tractor repair amounted to 37675 rupees.",19,33,46,51
"In the evening, The expense for fertilizer was 24594 rupees.",32,42,47,52
"Just now, I gave 15023 rupees as investment for poultry feed.",48,60,17,22
"Yesterday, Spent 3882 INR on purchasing fertilizer for my farm.",40,50,17,21
"Last month, Last week, organic compost was sold for 943 rupees.",23,38,52,55
"Just now, The cost of solar water pump was 32283 rupees.",22,38,43,48
"Early morning, I spent 43216 rupees on irrigation pipe last month.",39,54,23,28
"On Monday, I gave 47995 rupees as investment for coconut trees.",49,62,18,23
"Early morning, Around noon, I spent 43892 rupees on wheat seeds.",52,63,36,41
"Last month, I gave 37400 rupees as investment for goat.",50,54,19,24
"Last month, Spent 44260 INR on purchasing organic compost for my farm.",42,57,18,23
"Early morning, Amount paid for tractor repair was 2684 rupees.",31,45,50,54
"Yesterday, Used 36550 rupees to buy solar water pump.",36,52,16,21
"On Monday, Invested 22685 for purchasing tomato plants.",41,54,20,25
"During the season, The expense for duck feed was 809 rupees.",35,44,49,52
"Yesterday, Sold rice seeds in the market and earned 40477 rupees.",16,26,52,57
"Yesterday, I gave 39431 rupees as investment for banana plants.",49,62,18,23
"Yesterday, I spent 1459 rupees on wheat seeds last month.",34,45,19,23
"Today, I gave 37039 rupees as investment for poultry feed.",45,57,14,19
"Last month, Used 38523 rupees to buy greenhouse setup.",37,53,17,22
"In the evening, I invested 32886 rupees for buying goat.",51,55,27,32
"On Monday, Invested 13061 for purchasing pesticide.",41,50,20,25
"Just now, Invested 33605 for purchasing coconut trees.",40,53,19,24
"Recently, Harvested wheat seeds and sold for 40605 rupees.",20,31,45,50
"Recently, Spent 22870 INR on purchasing organic compost for my farm.",40,55,16,21
"During the season, I invested 13906 rupees for buying tomato plants.",54,67,30,35
Cost of tomato plants amounted to 10092 rupees.,8,21,34,39
"Just now, Amount paid for jamun saplings was 3710 rupees.",26,40,45,49
"Just now, Acquired tomato plants by paying 19143 rupees.",19,32,43,48
"Yesterday, Paid 23998 rupees to buy mango saplings.",36,50,16,21
"Last month, I spent 35217 rupees on duck feed last month.",36,45,20,25
"Last month, Last week, poultry feed was sold for 9961 rupees.",23,35,49,53
"Early morning, The cost of harvesting machine was 8394 rupees.",27,45,50,54
"Early morning, Spent 42349 INR on purchasing jamun saplings for my farm.",45,59,21,26
"Just now, Bought greenhouse setup today and paid 38211 rupees.",17,33,49,54
"Today, Around noon, I spent 47189 rupees on solar water pump.",44,60,28,33
"Early morning, Paid 32674 rupees to buy coconut trees.",40,53,20,25
"Last month, Harvest of pesticide brought in 20618 INR.",23,32,44,49
Spent 13759 INR on purchasing mango saplings for my farm.,30,44,6,11
"Last month, Cost of jamun saplings amounted to 39594 rupees.",20,34,47,52
